,Open,High,Low,Close,5. volume
2005-05-17,366.3876,368.726,355.8478,356.5254,15289172.0
2005-05-18,369.404,369.404,355.8138,359.169,15882694.0
2005-05-19,360.2194,362.6256,354.187,355.3054,11011547.0
2005-05-20,353.679,356.8646,349.3748,352.73,16101299.0
2005-05-23,353.4754,361.1348,353.4754,359.9824,6747716.0
2005-05-24,361.8802,363.3036,357.3052,359.5418,11487182.0
2005-05-25,359.5758,361.8124,356.695,359.5758,13322990.0
2005-05-26,360.5926,361.4058,356.8646,359.7454,24517873.0
2005-05-27,359.237,365.4724,358.6606,359.8806,15517120.0
2005-05-30,359.9146,362.5578,356.0174,356.966,8313402.0
2005-05-31,356.966,364.4218,355.2376,362.7952,13957192.0
2005-06-01,363.9812,368.726,363.3376,366.2858,11493304.0
2005-06-02,366.7264,368.0484,358.3218,359.0334,11409837.0
2005-06-03,359.4062,376.1818,359.4062,374.7584,29978546.0
2005-06-06,378.2154,383.6378,371.6068,374.013,18140028.0
2005-06-07,373.4706,376.6564,369.2682,371.3018,13746898.0
2005-06-08,371.505,379.571,371.505,378.5542,16307305.0
2005-06-09,378.9608,382.621,377.8762,378.893,12295417.0
2005-06-10,379.571,385.9084,379.571,384.1462,18839122.0
2005-06-13,387.9418,387.9418,379.6728,385.9422,11953627.0
2005-06-14,387.0268,389.9076,382.9602,389.2974,16216085.0
2005-06-15,389.738,391.0936,386.1796,389.7042,13546061.0
2005-06-16,391.0258,403.0906,389.9416,400.4474,25189694.0
2005-06-17,402.6162,412.3766,395.8722,407.2592,29058828.0
2005-06-20,414.8168,437.659,414.8168,427.2884,79278333.0
2005-06-21,427.2884,439.8278,416.9856,437.7942,51754914.0
2005-06-22,437.862,447.2836,434.134,444.3012,38179237.0
2005-06-23,447.2836,447.2836,438.0656,440.9802,24390497.0
2005-06-24,437.2184,446.3346,435.2866,443.7592,17218275.0
2005-06-27,444.6404,457.5186,437.2522,439.489,39729644.0
2005-06-28,454.1294,454.1294,424.9838,426.4072,29848149.0
2005-06-29,418.7478,438.54,418.7478,435.2188,27943911.0
2005-06-30,435.1848,442.6746,431.2198,435.083,13910577.0
2005-07-01,435.1848,437.1844,431.8296,433.5582,7192945.0
2005-07-04,434.4732,440.0652,433.1178,436.4046,10374946.0
2005-07-05,435.795,440.5732,431.423,432.6094,13699039.0
2005-07-06,433.7954,438.4044,433.7954,437.2522,17702722.0
2005-07-07,435.1508,437.1844,412.8172,416.0706,29432115.0
2005-07-08,423.6282,426.8138,416.9178,420.6458,18092371.0
2005-07-11,423.6282,430.6776,421.9338,429.0166,12227076.0
2005-07-12,428.373,436.1676,427.3902,432.5754,16761764.0
2005-07-13,432.4398,435.4222,426.3394,427.4918,8585301.0
2005-07-14,427.8646,438.54,421.3238,435.2188,25729050.0
2005-07-15,437.1844,453.8924,437.1166,451.8248,23115414.0
2005-07-18,454.1294,456.8406,445.996,448.1986,64484705.0
2005-07-19,449.385,454.8752,448.1986,450.605,11355469.0
2005-07-20,451.4182,462.602,451.4182,460.128,13732644.0
2005-07-21,462.2632,464.9744,454.4686,460.0604,12090646.0
2005-07-22,456.3326,468.9732,456.3326,467.4824,10884582.0
2005-07-25,466.33,471.4814,464.3304,465.9572,13538817.0
2005-07-26,467.0754,469.38,461.043,468.3974,13808713.0
2005-07-27,469.38,477.7848,467.3468,473.3792,26306097.0
2005-07-29,474.396,482.1568,470.3968,476.4292,20791024.0
2005-08-01,473.1078,481.2078,469.787,479.954,11450226.0
