,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,TCS.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2024-05-18,,"{'1. open': '3843.1499', '2. high': '3860.0000', '3. low': '3840.0000', '4. close': '3850.0000', '5. volume': '4203'}"
2024-05-17,,"{'1. open': '3915.0500', '2. high': '3920.0000', '3. low': '3829.7000', '4. close': '3833.9500', '5. volume': '223617'}"
2024-05-16,,"{'1. open': '3888.7500', '2. high': '3910.0000', '3. low': '3844.5000', '4. close': '3900.3000', '5. volume': '33443'}"
2024-05-15,,"{'1. open': '3901.9500', '2. high': '3930.2000', '3. low': '3875.0500', '4. close': '3880.3501', '5. volume': '71057'}"
2024-05-14,,"{'1. open': '3926.1499', '2. high': '3945.2000', '3. low': '3893.8000', '4. close': '3901.9500', '5. volume': '19294'}"
2024-05-13,,"{'1. open': '3888.0000', '2. high': '3955.0000', '3. low': '3869.6499', '4. close': '3946.8000', '5. volume': '68499'}"
2024-05-10,,"{'1. open': '3965.0000', '2. high': '3973.8000', '3. low': '3884.6499', '4. close': '3895.8501', '5. volume': '119844'}"
2024-05-09,,"{'1. open': '3959.3501', '2. high': '3970.0000', '3. low': '3911.0500', '4. close': '3960.0500', '5. volume': '24876'}"
2024-05-08,,"{'1. open': '3951.5500', '2. high': '3984.0000', '3. low': '3940.0500', '4. close': '3972.7000', '5. volume': '25099'}"
2024-05-07,,"{'1. open': '3925.8501', '2. high': '3988.3000', '3. low': '3912.7000', '4. close': '3978.2500', '5. volume': '68881'}"
2024-05-06,,"{'1. open': '3859.9500', '2. high': '3939.1001', '3. low': '3855.0000', '4. close': '3920.7000', '5. volume': '53334'}"
2024-05-03,,"{'1. open': '3881.6499', '2. high': '3893.3000', '3. low': '3798.0500', '4. close': '3839.3501', '5. volume': '149072'}"
2024-05-02,,"{'1. open': '3800.0000', '2. high': '3870.2000', '3. low': '3782.5000', '4. close': '3863.7500', '5. volume': '76798'}"
2024-04-30,,"{'1. open': '3870.6001', '2. high': '3880.0000', '3. low': '3810.0000', '4. close': '3822.6001', '5. volume': '98711'}"
2024-04-29,,"{'1. open': '3825.6001', '2. high': '3877.7000', '3. low': '3820.0000', '4. close': '3870.6001', '5. volume': '22303'}"
2024-04-26,,"{'1. open': '3859.6499', '2. high': '3875.8501', '3. low': '3801.2500', '4. close': '3812.8501', '5. volume': '114191'}"
2024-04-25,,"{'1. open': '3814.2000', '2. high': '3872.0000', '3. low': '3807.8000', '4. close': '3851.8501', '5. volume': '86420'}"
2024-04-24,,"{'1. open': '3890.0000', '2. high': '3896.0000', '3. low': '3824.1499', '4. close': '3831.2500', '5. volume': '38530'}"
2024-04-23,,"{'1. open': '3880.0000', '2. high': '3894.8999', '3. low': '3861.3999', '4. close': '3874.2000', '5. volume': '61696'}"
2024-04-22,,"{'1. open': '3828.6001', '2. high': '3879.3501', '3. low': '3815.5000', '4. close': '3865.4500', '5. volume': '51988'}"
2024-04-19,,"{'1. open': '3840.6001', '2. high': '3851.8000', '3. low': '3801.0000', '4. close': '3827.4500', '5. volume': '223097'}"
2024-04-18,,"{'1. open': '3889.7500', '2. high': '3936.0000', '3. low': '3851.0000', '4. close': '3863.5000', '5. volume': '65782'}"
2024-04-16,,"{'1. open': '3909.0000', '2. high': '3928.1001', '3. low': '3863.6499', '4. close': '3872.3000', '5. volume': '163353'}"
2024-04-15,,"{'1. open': '3995.0000', '2. high': '4063.0000', '3. low': '3920.0000', '4. close': '3941.6499', '5. volume': '104649'}"
2024-04-12,,"{'1. open': '3982.5000', '2. high': '4013.2500', '3. low': '3948.0000', '4. close': '4000.3000', '5. volume': '179585'}"
2024-04-10,,"{'1. open': '3950.0500', '2. high': '3989.3000', '3. low': '3916.6001', '4. close': '3982.5500', '5. volume': '109590'}"
2024-04-09,,"{'1. open': '3980.0000', '2. high': '4015.0500', '3. low': '3925.1001', '4. close': '3947.1499', '5. volume': '81107'}"
2024-04-08,,"{'1. open': '3980.0000', '2. high': '4030.0000', '3. low': '3960.1001', '4. close': '3972.7000', '5. volume': '90377'}"
2024-04-05,,"{'1. open': '3980.0000', '2. high': '4001.8999', '3. low': '3959.5000', '4. close': '3979.5500', '5. volume': '93066'}"
2024-04-04,,"{'1. open': '3970.0500', '2. high': '4027.3000', '3. low': '3936.0000', '4. close': '4003.0500', '5. volume': '42264'}"
2024-04-03,,"{'1. open': '3859.5500', '2. high': '3981.2000', '3. low': '3855.7000', '4. close': '3947.2500', '5. volume': '62264'}"
2024-04-02,,"{'1. open': '3889.9500', '2. high': '3905.5000', '3. low': '3875.0000', '4. close': '3882.6001', '5. volume': '44046'}"
2024-04-01,,"{'1. open': '3900.0000', '2. high': '3932.0000', '3. low': '3886.6001', '4. close': '3915.2500', '5. volume': '58865'}"
2024-03-28,,"{'1. open': '3856.4500', '2. high': '3914.6499', '3. low': '3840.5000', '4. close': '3883.5500', '5. volume': '80498'}"
2024-03-27,,"{'1. open': '3896.9500', '2. high': '3896.9500', '3. low': '3828.5500', '4. close': '3837.5000', '5. volume': '71441'}"
2024-03-26,,"{'1. open': '3897.5500', '2. high': '3946.0000', '3. low': '3872.0000', '4. close': '3877.1001', '5. volume': '203863'}"
2024-03-22,,"{'1. open': '3899.0000', '2. high': '3938.3999', '3. low': '3856.0000', '4. close': '3913.1001', '5. volume': '275926'}"
2024-03-21,,"{'1. open': '3985.3999', '2. high': '4008.4500', '3. low': '3948.8501', '4. close': '3974.0500', '5. volume': '64927'}"
2024-03-20,,"{'1. open': '3986.0000', '2. high': '4018.0000', '3. low': '3960.5000', '4. close': '3970.4500', '5. volume': '136936'}"
2024-03-19,,"{'1. open': '4055.6499', '2. high': '4055.7000', '3. low': '3965.8999', '4. close': '3977.5500', '5. volume': '25582190'}"
2024-03-18,,"{'1. open': '4217.5000', '2. high': '4254.4502', '3. low': '4116.7002', '4. close': '4144.7500', '5. volume': '39490'}"
2024-03-15,,"{'1. open': '4202.8501', '2. high': '4238.7998', '3. low': '4177.0000', '4. close': '4217.5000', '5. volume': '106409'}"
2024-03-14,,"{'1. open': '4143.0498', '2. high': '4213.7002', '3. low': '4086.8000', '4. close': '4207.1499', '5. volume': '50198'}"
2024-03-13,,"{'1. open': '4200.0498', '2. high': '4241.0498', '3. low': '4132.7998', '4. close': '4148.3999', '5. volume': '46250'}"
2024-03-12,,"{'1. open': '4117.2998', '2. high': '4229.2998', '3. low': '4117.2998', '4. close': '4191.3501', '5. volume': '99915'}"
2024-03-11,,"{'1. open': '4080.3501', '2. high': '4153.0498', '3. low': '4080.3501', '4. close': '4121.5000', '5. volume': '105726'}"
2024-03-07,,"{'1. open': '4060.1001', '2. high': '4124.0000', '3. low': '4039.0000', '4. close': '4110.1001', '5. volume': '227716'}"
2024-03-06,,"{'1. open': '4016.1499', '2. high': '4071.9500', '3. low': '3959.3501', '4. close': '4065.3000', '5. volume': '70501'}"
2024-03-05,,"{'1. open': '4060.0000', '2. high': '4062.0000', '3. low': '3980.5000', '4. close': '4011.3501', '5. volume': '120472'}"
2024-03-04,,"{'1. open': '4095.4500', '2. high': '4114.1001', '3. low': '4075.4500', '4. close': '4081.6001', '5. volume': '108134'}"
2024-03-01,,"{'1. open': '4095.3999', '2. high': '4139.8999', '3. low': '4087.8501', '4. close': '4096.2998', '5. volume': '120954'}"
2024-02-29,,"{'1. open': '4100.0000', '2. high': '4138.0000', '3. low': '4068.8000', '4. close': '4092.1499', '5. volume': '30529'}"
2024-02-28,,"{'1. open': '4103.0000', '2. high': '4154.2500', '3. low': '4091.3000', '4. close': '4116.3999', '5. volume': '33404'}"
2024-02-27,,"{'1. open': '3999.8000', '2. high': '4124.6499', '3. low': '3997.0500', '4. close': '4102.7998', '5. volume': '334830'}"
2024-02-26,,"{'1. open': '4039.0000', '2. high': '4050.8501', '3. low': '3983.3000', '4. close': '4000.3999', '5. volume': '19901'}"
2024-02-23,,"{'1. open': '4121.0498', '2. high': '4128.9502', '3. low': '4045.5000', '4. close': '4051.9500', '5. volume': '171593'}"
2024-02-22,,"{'1. open': '3968.3501', '2. high': '4093.8000', '3. low': '3968.3501', '4. close': '4086.4500', '5. volume': '31762'}"
2024-02-21,,"{'1. open': '4018.8501', '2. high': '4063.0000', '3. low': '3980.0000', '4. close': '3989.3000', '5. volume': '24380'}"
2024-02-20,,"{'1. open': '4089.8999', '2. high': '4098.8501', '3. low': '4011.1001', '4. close': '4029.9500', '5. volume': '30284'}"
2024-02-19,,"{'1. open': '4119.1499', '2. high': '4121.6499', '3. low': '4055.1001', '4. close': '4101.6001', '5. volume': '56840'}"
2024-02-16,,"{'1. open': '4112.0498', '2. high': '4147.0000', '3. low': '4100.8999', '4. close': '4129.2002', '5. volume': '132816'}"
2024-02-15,,"{'1. open': '4122.2998', '2. high': '4145.0000', '3. low': '4081.7000', '4. close': '4102.0000', '5. volume': '39303'}"
2024-02-14,,"{'1. open': '4102.0498', '2. high': '4114.5000', '3. low': '4049.5500', '4. close': '4101.0000', '5. volume': '15211'}"
2024-02-13,,"{'1. open': '4120.0498', '2. high': '4169.3501', '3. low': '4082.3999', '4. close': '4149.1499', '5. volume': '21924'}"
2024-02-12,,"{'1. open': '4130.8999', '2. high': '4159.3501', '3. low': '4106.1001', '4. close': '4119.0498', '5. volume': '57361'}"
2024-02-09,,"{'1. open': '4130.0000', '2. high': '4184.5498', '3. low': '4098.3999', '4. close': '4134.2500', '5. volume': '202275'}"
2024-02-08,,"{'1. open': '4090.0000', '2. high': '4157.6001', '3. low': '4085.7500', '4. close': '4135.5498', '5. volume': '39399'}"
2024-02-07,,"{'1. open': '4140.1499', '2. high': '4156.0498', '3. low': '4072.8501', '4. close': '4083.2000', '5. volume': '271054'}"
2024-02-06,,"{'1. open': '4000.0000', '2. high': '4149.7500', '3. low': '3987.1001', '4. close': '4133.4502', '5. volume': '107328'}"
2024-02-05,,"{'1. open': '3973.6001', '2. high': '4020.0000', '3. low': '3960.4500', '4. close': '3972.7500', '5. volume': '126912'}"
2024-02-02,,"{'1. open': '3860.0000', '2. high': '3982.0500', '3. low': '3860.0000', '4. close': '3966.3501', '5. volume': '178429'}"
2024-02-01,,"{'1. open': '3816.2000', '2. high': '3904.7000', '3. low': '3805.0000', '4. close': '3851.4500', '5. volume': '780437'}"
2024-01-31,,"{'1. open': '3804.1499', '2. high': '3834.8999', '3. low': '3797.0000', '4. close': '3814.7500', '5. volume': '32384'}"
2024-01-30,,"{'1. open': '3801.5000', '2. high': '3845.7500', '3. low': '3786.0000', '4. close': '3799.1001', '5. volume': '272018'}"
2024-01-29,,"{'1. open': '3807.8501', '2. high': '3820.5000', '3. low': '3782.0000', '4. close': '3801.3501', '5. volume': '251247'}"
2024-01-25,,"{'1. open': '3836.8000', '2. high': '3855.0000', '3. low': '3780.0000', '4. close': '3808.2000', '5. volume': '1089054'}"
2024-01-24,,"{'1. open': '3862.2000', '2. high': '3881.3999', '3. low': '3805.0000', '4. close': '3848.0000', '5. volume': '408405'}"
2024-01-23,,"{'1. open': '3900.0000', '2. high': '3933.0000', '3. low': '3844.2500', '4. close': '3861.8999', '5. volume': '51991'}"
2024-01-19,,"{'1. open': '3930.0000', '2. high': '3963.0000', '3. low': '3917.3999', '4. close': '3942.2500', '5. volume': '562002'}"
2024-01-18,,"{'1. open': '3884.1499', '2. high': '3884.1499', '3. low': '3884.1499', '4. close': '3884.1499', '5. volume': '0'}"
2024-01-17,,"{'1. open': '3835.8501', '2. high': '3910.0000', '3. low': '3818.1001', '4. close': '3884.1499', '5. volume': '41328'}"
2024-01-16,,"{'1. open': '3902.2500', '2. high': '3902.2500', '3. low': '3855.2500', '4. close': '3861.0000', '5. volume': '25447'}"
2024-01-15,,"{'1. open': '3952.4500', '2. high': '3965.0000', '3. low': '3885.0000', '4. close': '3902.3999', '5. volume': '89116'}"
2024-01-12,,"{'1. open': '3843.9500', '2. high': '3905.7500', '3. low': '3820.6001', '4. close': '3881.7000', '5. volume': '1168288'}"
