,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,BHARTIARTL.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2024-03-18,,"{'1. open': '1228.9500', '2. high': '1231.0000', '3. low': '1215.3000', '4. close': '1225.0500', '5. volume': '109655'}"
2024-03-15,,"{'1. open': '1186.0000', '2. high': '1222.7000', '3. low': '1186.0000', '4. close': '1220.3500', '5. volume': '1584041'}"
2024-03-14,,"{'1. open': '1167.3500', '2. high': '1199.6500', '3. low': '1164.0000', '4. close': '1195.3000', '5. volume': '1190372'}"
2024-03-13,,"{'1. open': '1210.7000', '2. high': '1210.7000', '3. low': '1151.3000', '4. close': '1169.2000', '5. volume': '124916'}"
2024-03-12,,"{'1. open': '1204.5500', '2. high': '1207.8000', '3. low': '1198.0500', '4. close': '1204.4000', '5. volume': '52074'}"
2024-03-11,,"{'1. open': '1187.9500', '2. high': '1218.2000', '3. low': '1187.9500', '4. close': '1197.1000', '5. volume': '57435'}"
2024-03-07,,"{'1. open': '1207.1000', '2. high': '1213.0500', '3. low': '1189.2000', '4. close': '1199.1500', '5. volume': '1202709'}"
2024-03-06,,"{'1. open': '1174.4000', '2. high': '1196.0000', '3. low': '1157.8500', '4. close': '1193.8500', '5. volume': '1551612'}"
2024-03-05,,"{'1. open': '1139.4500', '2. high': '1179.4500', '3. low': '1134.0000', '4. close': '1168.7000', '5. volume': '176671'}"
2024-03-04,,"{'1. open': '1131.8000', '2. high': '1149.0000', '3. low': '1131.8000', '4. close': '1134.0000', '5. volume': '1524770'}"
2024-03-01,,"{'1. open': '1123.1500', '2. high': '1140.4000', '3. low': '1118.0000', '4. close': '1128.7000', '5. volume': '230620'}"
2024-02-29,,"{'1. open': '1123.0000', '2. high': '1137.7500', '3. low': '1098.1000', '4. close': '1122.9000', '5. volume': '462799'}"
2024-02-28,,"{'1. open': '1135.3500', '2. high': '1152.1000', '3. low': '1123.5500', '4. close': '1128.7000', '5. volume': '86413'}"
2024-02-27,,"{'1. open': '1115.0000', '2. high': '1130.8500', '3. low': '1101.6000', '4. close': '1127.3500', '5. volume': '123111'}"
2024-02-26,,"{'1. open': '1116.7000', '2. high': '1125.9500', '3. low': '1104.1500', '4. close': '1110.2000', '5. volume': '56717'}"
2024-02-23,,"{'1. open': '1130.0000', '2. high': '1132.1500', '3. low': '1116.0000', '4. close': '1126.7000', '5. volume': '356937'}"
2024-02-22,,"{'1. open': '1139.0000', '2. high': '1139.0000', '3. low': '1098.0000', '4. close': '1135.2500', '5. volume': '2187392'}"
2024-02-21,,"{'1. open': '1153.4000', '2. high': '1159.0500', '3. low': '1132.6000', '4. close': '1139.7500', '5. volume': '2553984'}"
2024-02-20,,"{'1. open': '1143.0500', '2. high': '1151.2500', '3. low': '1135.3500', '4. close': '1144.1500', '5. volume': '201421'}"
2024-02-19,,"{'1. open': '1118.6000', '2. high': '1144.6000', '3. low': '1118.5500', '4. close': '1142.2000', '5. volume': '397680'}"
2024-02-16,,"{'1. open': '1122.6000', '2. high': '1126.9000', '3. low': '1117.0000', '4. close': '1119.8500', '5. volume': '262499'}"
2024-02-15,,"{'1. open': '1121.3000', '2. high': '1131.1000', '3. low': '1110.0000', '4. close': '1121.1500', '5. volume': '22932'}"
2024-02-14,,"{'1. open': '1108.5500', '2. high': '1120.7000', '3. low': '1104.5500', '4. close': '1115.7000', '5. volume': '127923'}"
2024-02-13,,"{'1. open': '1117.8500', '2. high': '1124.9000', '3. low': '1104.0000', '4. close': '1117.7000', '5. volume': '164231'}"
2024-02-12,,"{'1. open': '1124.4500', '2. high': '1128.5000', '3. low': '1111.4500', '4. close': '1118.9500', '5. volume': '71407'}"
2024-02-09,,"{'1. open': '1137.0000', '2. high': '1144.9500', '3. low': '1115.8000', '4. close': '1121.1000', '5. volume': '203529'}"
2024-02-08,,"{'1. open': '1147.9500', '2. high': '1147.9500', '3. low': '1116.9500', '4. close': '1142.6000', '5. volume': '175061'}"
2024-02-07,,"{'1. open': '1138.5000', '2. high': '1148.2000', '3. low': '1132.0000', '4. close': '1134.5500', '5. volume': '656111'}"
2024-02-06,,"{'1. open': '1125.0000', '2. high': '1155.9500', '3. low': '1122.6000', '4. close': '1134.2500', '5. volume': '203984'}"
2024-02-05,,"{'1. open': '1153.2500', '2. high': '1159.0000', '3. low': '1110.4000', '4. close': '1113.7500', '5. volume': '76698'}"
2024-02-02,,"{'1. open': '1150.0500', '2. high': '1175.1000', '3. low': '1145.3000', '4. close': '1150.5500', '5. volume': '251109'}"
2024-02-01,,"{'1. open': '1171.8500', '2. high': '1171.8500', '3. low': '1149.2000', '4. close': '1150.7500', '5. volume': '50129'}"
2024-01-31,,"{'1. open': '1164.0000', '2. high': '1174.5000', '3. low': '1146.7500', '4. close': '1170.7000', '5. volume': '26964'}"
2024-01-30,,"{'1. open': '1164.9000', '2. high': '1181.1000', '3. low': '1154.8000', '4. close': '1158.3000', '5. volume': '40927'}"
2024-01-29,,"{'1. open': '1159.4000', '2. high': '1169.3500', '3. low': '1158.0500', '4. close': '1162.0500', '5. volume': '981424'}"
2024-01-25,,"{'1. open': '1190.3000', '2. high': '1200.9500', '3. low': '1157.3500', '4. close': '1159.8500', '5. volume': '365568'}"
2024-01-24,,"{'1. open': '1144.6000', '2. high': '1200.0000', '3. low': '1142.2500', '4. close': '1190.4500', '5. volume': '227684'}"
2024-01-23,,"{'1. open': '1140.1000', '2. high': '1172.5000', '3. low': '1135.0000', '4. close': '1159.2000', '5. volume': '141141'}"
2024-01-19,,"{'1. open': '1087.2500', '2. high': '1136.0000', '3. low': '1087.2500', '4. close': '1125.0000', '5. volume': '488224'}"
2024-01-18,,"{'1. open': '1078.0000', '2. high': '1095.4500', '3. low': '1074.9500', '4. close': '1086.7000', '5. volume': '107441'}"
2024-01-17,,"{'1. open': '1092.4500', '2. high': '1106.9500', '3. low': '1078.3000', '4. close': '1085.1500', '5. volume': '36373'}"
2024-01-16,,"{'1. open': '1106.9500', '2. high': '1116.8000', '3. low': '1093.6500', '4. close': '1095.3500', '5. volume': '38718'}"
2024-01-15,,"{'1. open': '1078.1500', '2. high': '1104.4500', '3. low': '1075.5500', '4. close': '1101.8000', '5. volume': '50955'}"
2024-01-12,,"{'1. open': '1059.2000', '2. high': '1078.5500', '3. low': '1051.7500', '4. close': '1076.1000', '5. volume': '795068'}"
