,Meta Data,Time Series (Daily)
1. Information,"Daily Prices (open, high, low, close) and Volumes",
2. Symbol,BHARTIARTL.BSE,
3. Last Refreshed,2024-10-11,
4. Output Size,Full size,
5. Time Zone,US/Eastern,
2014-01-10,,"{'1. open': '329.9998', '2. high': '332.9999', '3. low': '327.7999', '4. close': '330.5999', '5. volume': '76086'}"
2014-01-09,,"{'1. open': '332.7499', '2. high': '332.9999', '3. low': '327.5998', '4. close': '329.1999', '5. volume': '139736'}"
2014-01-08,,"{'1. open': '333.6999', '2. high': '333.8498', '3. low': '327.9999', '4. close': '332.5499', '5. volume': '98313'}"
2014-01-07,,"{'1. open': '329.5499', '2. high': '334.3999', '3. low': '326.9999', '4. close': '331.6498', '5. volume': '116369'}"
2014-01-06,,"{'1. open': '329.7999', '2. high': '330.2498', '3. low': '325.6999', '4. close': '328.7998', '5. volume': '73330'}"
2014-01-03,,"{'1. open': '328.9999', '2. high': '330.4999', '3. low': '324.2499', '4. close': '328.8499', '5. volume': '152011'}"
2014-01-02,,"{'1. open': '339.6999', '2. high': '339.6999', '3. low': '325.9499', '4. close': '328.0999', '5. volume': '1075403'}"
2014-01-01,,"{'1. open': '331.9999', '2. high': '338.9999', '3. low': '330.4999', '4. close': '337.5999', '5. volume': '160946'}"
2013-12-31,,"{'1. open': '329.5999', '2. high': '332.9999', '3. low': '326.1999', '4. close': '330.4498', '5. volume': '136136'}"
2013-12-30,,"{'1. open': '329.9998', '2. high': '333.5499', '3. low': '329.1499', '4. close': '329.5999', '5. volume': '252869'}"
2013-12-27,,"{'1. open': '330.4999', '2. high': '331.0999', '3. low': '327.9499', '4. close': '328.7998', '5. volume': '87365'}"
2013-12-26,,"{'1. open': '328.8999', '2. high': '330.7499', '3. low': '324.9999', '4. close': '329.2999', '5. volume': '500447'}"
2013-12-24,,"{'1. open': '328.9999', '2. high': '331.9999', '3. low': '324.3999', '4. close': '325.4999', '5. volume': '208842'}"
2013-12-23,,"{'1. open': '327.7999', '2. high': '330.1499', '3. low': '325.6498', '4. close': '328.2499', '5. volume': '241540'}"
2013-12-20,,"{'1. open': '324.9999', '2. high': '329.5999', '3. low': '319.8998', '4. close': '327.8999', '5. volume': '368210'}"
2013-12-19,,"{'1. open': '328.9999', '2. high': '329.8999', '3. low': '318.5999', '4. close': '323.3499', '5. volume': '196125'}"
2013-12-18,,"{'1. open': '328.9999', '2. high': '331.8499', '3. low': '324.1499', '4. close': '327.9499', '5. volume': '248994'}"
2013-12-17,,"{'1. open': '313.4499', '2. high': '329.4998', '3. low': '313.4499', '4. close': '327.3999', '5. volume': '437623'}"
2013-12-16,,"{'1. open': '321.9999', '2. high': '323.6999', '3. low': '312.2499', '4. close': '313.9999', '5. volume': '193776'}"
2013-12-13,,"{'1. open': '325.0999', '2. high': '329.4998', '3. low': '320.1999', '4. close': '321.0499', '5. volume': '210268'}"
2013-12-12,,"{'1. open': '328.8999', '2. high': '328.9999', '3. low': '315.8999', '4. close': '323.4998', '5. volume': '690073'}"
2013-12-11,,"{'1. open': '336.9999', '2. high': '339.9999', '3. low': '326.4999', '4. close': '328.1499', '5. volume': '243264'}"
2013-12-10,,"{'1. open': '337.5499', '2. high': '341.6999', '3. low': '333.2499', '4. close': '335.3499', '5. volume': '185444'}"
2013-12-09,,"{'1. open': '338.9999', '2. high': '342.9498', '3. low': '334.8999', '4. close': '336.6998', '5. volume': '621781'}"
2013-12-06,,"{'1. open': '335.9998', '2. high': '335.9998', '3. low': '330.9999', '4. close': '332.1498', '5. volume': '505404'}"
2013-12-05,,"{'1. open': '337.9999', '2. high': '339.4999', '3. low': '333.8999', '4. close': '335.4499', '5. volume': '333672'}"
2013-12-04,,"{'1. open': '333.6999', '2. high': '336.4999', '3. low': '330.9999', '4. close': '332.2499', '5. volume': '268045'}"
2013-12-03,,"{'1. open': '331.8998', '2. high': '333.7999', '3. low': '329.5999', '4. close': '330.6499', '5. volume': '180166'}"
2013-12-02,,"{'1. open': '327.9999', '2. high': '335.1999', '3. low': '327.9999', '4. close': '332.2999', '5. volume': '473778'}"
2013-11-29,,"{'1. open': '324.9999', '2. high': '329.4998', '3. low': '324.4498', '4. close': '327.1999', '5. volume': '256074'}"
2013-11-28,,"{'1. open': '325.7999', '2. high': '326.1498', '3. low': '321.6999', '4. close': '323.6499', '5. volume': '178883'}"
2013-11-27,,"{'1. open': '327.9999', '2. high': '328.9999', '3. low': '318.8999', '4. close': '321.7999', '5. volume': '276028'}"
2013-11-26,,"{'1. open': '335.9499', '2. high': '340.3999', '3. low': '324.9999', '4. close': '327.5499', '5. volume': '239362'}"
2013-11-25,,"{'1. open': '335.9998', '2. high': '341.3999', '3. low': '330.5499', '4. close': '336.6998', '5. volume': '156350'}"
2013-11-22,,"{'1. open': '339.9999', '2. high': '346.5498', '3. low': '334.9999', '4. close': '336.3499', '5. volume': '216337'}"
2013-11-21,,"{'1. open': '341.9998', '2. high': '344.0499', '3. low': '334.9999', '4. close': '337.5499', '5. volume': '103239'}"
2013-11-20,,"{'1. open': '350.9999', '2. high': '352.7499', '3. low': '340.9999', '4. close': '343.1499', '5. volume': '189185'}"
2013-11-19,,"{'1. open': '346.0998', '2. high': '353.9998', '3. low': '346.0998', '4. close': '351.7499', '5. volume': '514473'}"
2013-11-18,,"{'1. open': '341.1999', '2. high': '346.9999', '3. low': '340.4999', '4. close': '345.0499', '5. volume': '923761'}"
2013-11-14,,"{'1. open': '334.9999', '2. high': '344.4999', '3. low': '334.9999', '4. close': '339.0998', '5. volume': '187958'}"
2013-11-13,,"{'1. open': '335.9998', '2. high': '338.9999', '3. low': '328.6499', '4. close': '332.1999', '5. volume': '313424'}"
2013-11-12,,"{'1. open': '340.3499', '2. high': '351.4499', '3. low': '336.0999', '4. close': '337.4999', '5. volume': '126016'}"
2013-11-11,,"{'1. open': '340.9999', '2. high': '346.3999', '3. low': '339.2499', '4. close': '340.1999', '5. volume': '316215'}"
2013-11-08,,"{'1. open': '348.2498', '2. high': '352.6499', '3. low': '342.8499', '4. close': '343.9999', '5. volume': '438360'}"
2013-11-07,,"{'1. open': '355.4498', '2. high': '358.3999', '3. low': '341.9998', '4. close': '348.2498', '5. volume': '421462'}"
2013-11-06,,"{'1. open': '359.5999', '2. high': '364.4999', '3. low': '352.8999', '4. close': '355.4498', '5. volume': '452762'}"
2013-11-05,,"{'1. open': '361.9999', '2. high': '365.3999', '3. low': '356.1998', '4. close': '359.6499', '5. volume': '154203'}"
2013-11-01,,"{'1. open': '359.9998', '2. high': '373.4999', '3. low': '359.9998', '4. close': '366.2498', '5. volume': '412970'}"
2013-10-31,,"{'1. open': '356.3499', '2. high': '369.8498', '3. low': '355.9999', '4. close': '364.6499', '5. volume': '1414430'}"
2013-10-30,,"{'1. open': '339.9499', '2. high': '363.9999', '3. low': '334.9999', '4. close': '359.0498', '5. volume': '1858344'}"
2013-10-29,,"{'1. open': '342.9999', '2. high': '344.9999', '3. low': '336.2999', '4. close': '341.1999', '5. volume': '131788'}"
2013-10-28,,"{'1. open': '342.9999', '2. high': '347.9998', '3. low': '337.5499', '4. close': '339.7999', '5. volume': '118092'}"
2013-10-25,,"{'1. open': '350.2499', '2. high': '350.2499', '3. low': '342.2498', '4. close': '343.6498', '5. volume': '407351'}"
2013-10-24,,"{'1. open': '346.6999', '2. high': '356.8998', '3. low': '346.6999', '4. close': '349.8499', '5. volume': '145047'}"
2013-10-23,,"{'1. open': '351.9999', '2. high': '354.6998', '3. low': '345.6999', '4. close': '347.8999', '5. volume': '218436'}"
2013-10-22,,"{'1. open': '351.7499', '2. high': '355.6998', '3. low': '349.4999', '4. close': '352.0998', '5. volume': '1101613'}"
2013-10-21,,"{'1. open': '353.9998', '2. high': '359.2998', '3. low': '350.8998', '4. close': '352.5498', '5. volume': '275789'}"
2013-10-18,,"{'1. open': '349.9999', '2. high': '359.2998', '3. low': '349.2999', '4. close': '356.5999', '5. volume': '752144'}"
2013-10-17,,"{'1. open': '339.4999', '2. high': '349.8998', '3. low': '339.4999', '4. close': '348.6998', '5. volume': '363266'}"
2013-10-15,,"{'1. open': '336.4498', '2. high': '343.9999', '3. low': '334.1999', '4. close': '339.0499', '5. volume': '291359'}"
2013-10-14,,"{'1. open': '336.2999', '2. high': '338.5999', '3. low': '331.7999', '4. close': '332.6498', '5. volume': '195758'}"
2013-10-11,,"{'1. open': '331.9999', '2. high': '337.4999', '3. low': '331.7499', '4. close': '334.5498', '5. volume': '191184'}"
2013-10-10,,"{'1. open': '329.1499', '2. high': '336.3999', '3. low': '329.1499', '4. close': '332.4999', '5. volume': '248345'}"
2013-10-09,,"{'1. open': '331.7999', '2. high': '334.9999', '3. low': '323.1499', '4. close': '333.8999', '5. volume': '559243'}"
2013-10-08,,"{'1. open': '324.9999', '2. high': '334.3499', '3. low': '323.0499', '4. close': '331.4999', '5. volume': '606050'}"
2013-10-07,,"{'1. open': '326.2999', '2. high': '326.2999', '3. low': '319.9999', '4. close': '322.5498', '5. volume': '381802'}"
2013-10-04,,"{'1. open': '323.9998', '2. high': '331.5999', '3. low': '319.9999', '4. close': '328.1499', '5. volume': '338474'}"
2013-10-03,,"{'1. open': '320.9999', '2. high': '325.2999', '3. low': '314.6999', '4. close': '324.2499', '5. volume': '519929'}"
2013-10-01,,"{'1. open': '319.5999', '2. high': '324.1499', '3. low': '309.2499', '4. close': '321.9499', '5. volume': '257074'}"
2013-09-30,,"{'1. open': '322.9999', '2. high': '322.9999', '3. low': '311.9999', '4. close': '318.2499', '5. volume': '470200'}"
2013-09-27,,"{'1. open': '338.3499', '2. high': '338.3499', '3. low': '323.5499', '4. close': '325.0999', '5. volume': '391262'}"
2013-09-26,,"{'1. open': '337.4999', '2. high': '337.9999', '3. low': '329.4998', '4. close': '334.5999', '5. volume': '229106'}"
2013-09-25,,"{'1. open': '330.4999', '2. high': '339.0998', '3. low': '325.4999', '4. close': '336.2498', '5. volume': '301743'}"
2013-09-24,,"{'1. open': '333.9999', '2. high': '335.7999', '3. low': '327.9999', '4. close': '329.9998', '5. volume': '315004'}"
2013-09-23,,"{'1. open': '341.9998', '2. high': '341.9998', '3. low': '330.0999', '4. close': '335.0498', '5. volume': '267982'}"
2013-09-20,,"{'1. open': '354.3499', '2. high': '354.3499', '3. low': '341.5499', '4. close': '344.3499', '5. volume': '383198'}"
2013-09-19,,"{'1. open': '345.9999', '2. high': '358.7499', '3. low': '342.9999', '4. close': '354.1499', '5. volume': '1639528'}"
2013-09-18,,"{'1. open': '339.1999', '2. high': '340.9999', '3. low': '333.7499', '4. close': '337.3499', '5. volume': '161689'}"
2013-09-17,,"{'1. open': '338.6999', '2. high': '340.6999', '3. low': '326.1498', '4. close': '337.2999', '5. volume': '247818'}"
2013-09-16,,"{'1. open': '326.9999', '2. high': '339.5998', '3. low': '326.7999', '4. close': '335.3999', '5. volume': '275883'}"
2013-09-13,,"{'1. open': '325.7499', '2. high': '332.1999', '3. low': '316.6499', '4. close': '325.7999', '5. volume': '386349'}"
2013-09-12,,"{'1. open': '336.3999', '2. high': '339.9999', '3. low': '324.6499', '4. close': '328.9999', '5. volume': '161053'}"
2013-09-11,,"{'1. open': '338.9999', '2. high': '344.8998', '3. low': '329.9998', '4. close': '335.4499', '5. volume': '502387'}"
2013-09-10,,"{'1. open': '322.9999', '2. high': '350.9999', '3. low': '321.6499', '4. close': '339.0998', '5. volume': '736074'}"
2013-09-06,,"{'1. open': '302.1999', '2. high': '317.8999', '3. low': '298.4499', '4. close': '313.5499', '5. volume': '574796'}"
2013-09-05,,"{'1. open': '300.3499', '2. high': '308.9999', '3. low': '294.6999', '4. close': '297.2999', '5. volume': '264621'}"
2013-09-04,,"{'1. open': '285.9999', '2. high': '299.0499', '3. low': '280.9999', '4. close': '297.4499', '5. volume': '278616'}"
2013-09-03,,"{'1. open': '305.9999', '2. high': '306.9999', '3. low': '283.1499', '4. close': '284.9999', '5. volume': '452760'}"
2013-09-02,,"{'1. open': '302.9999', '2. high': '303.9999', '3. low': '295.2499', '4. close': '300.5499', '5. volume': '202116'}"
2013-08-30,,"{'1. open': '300.9999', '2. high': '302.1999', '3. low': '290.4999', '4. close': '298.5499', '5. volume': '219525'}"
2013-08-29,,"{'1. open': '293.2498', '2. high': '300.6499', '3. low': '289.9999', '4. close': '298.9499', '5. volume': '327586'}"
2013-08-28,,"{'1. open': '292.9998', '2. high': '292.9998', '3. low': '279.2499', '4. close': '287.7499', '5. volume': '291071'}"
2013-08-27,,"{'1. open': '305.8999', '2. high': '306.1998', '3. low': '291.4999', '4. close': '294.2499', '5. volume': '212313'}"
2013-08-26,,"{'1. open': '307.4999', '2. high': '316.6499', '3. low': '304.7999', '4. close': '306.9999', '5. volume': '174461'}"
2013-08-23,,"{'1. open': '313.9999', '2. high': '314.1999', '3. low': '303.5999', '4. close': '308.5998', '5. volume': '348463'}"
2013-08-22,,"{'1. open': '299.9999', '2. high': '316.7499', '3. low': '295.5999', '4. close': '313.4499', '5. volume': '346324'}"
2013-08-21,,"{'1. open': '320.5499', '2. high': '323.1499', '3. low': '294.7499', '4. close': '298.5999', '5. volume': '373633'}"
2013-08-20,,"{'1. open': '312.1499', '2. high': '324.4498', '3. low': '301.9999', '4. close': '318.6998', '5. volume': '346043'}"
2013-08-19,,"{'1. open': '333.0998', '2. high': '333.7499', '3. low': '307.6999', '4. close': '317.3499', '5. volume': '338021'}"
2013-08-16,,"{'1. open': '346.0998', '2. high': '348.2999', '3. low': '331.3499', '4. close': '335.8499', '5. volume': '503090'}"
2013-08-14,,"{'1. open': '345.9999', '2. high': '351.6499', '3. low': '339.9999', '4. close': '342.6998', '5. volume': '315467'}"
2013-08-13,,"{'1. open': '340.0998', '2. high': '349.3499', '3. low': '333.9999', '4. close': '346.3999', '5. volume': '284661'}"
2013-08-12,,"{'1. open': '337.0999', '2. high': '344.2999', '3. low': '333.3999', '4. close': '341.8999', '5. volume': '172468'}"
2013-08-08,,"{'1. open': '328.9999', '2. high': '339.8498', '3. low': '324.3499', '4. close': '337.3999', '5. volume': '248650'}"
2013-08-07,,"{'1. open': '322.9999', '2. high': '332.7999', '3. low': '320.5999', '4. close': '326.7999', '5. volume': '236171'}"
2013-08-06,,"{'1. open': '335.9998', '2. high': '337.6999', '3. low': '318.2499', '4. close': '323.3999', '5. volume': '329329'}"
2013-08-05,,"{'1. open': '344.4999', '2. high': '346.2998', '3. low': '335.2498', '4. close': '336.5999', '5. volume': '155011'}"
2013-08-02,,"{'1. open': '342.9999', '2. high': '349.2999', '3. low': '339.4499', '4. close': '344.6999', '5. volume': '322488'}"
2013-08-01,,"{'1. open': '344.9999', '2. high': '353.9998', '3. low': '339.9999', '4. close': '343.6998', '5. volume': '1489803'}"
2013-07-31,,"{'1. open': '313.3499', '2. high': '348.2999', '3. low': '312.6998', '4. close': '344.8998', '5. volume': '1255782'}"
2013-07-30,,"{'1. open': '333.9999', '2. high': '334.8999', '3. low': '317.3999', '4. close': '321.4499', '5. volume': '160416'}"
2013-07-29,,"{'1. open': '336.0999', '2. high': '346.6999', '3. low': '331.2499', '4. close': '333.9999', '5. volume': '354349'}"
2013-07-26,,"{'1. open': '337.0999', '2. high': '339.9999', '3. low': '331.1998', '4. close': '337.3499', '5. volume': '262734'}"
2013-07-25,,"{'1. open': '336.0999', '2. high': '340.8999', '3. low': '333.0998', '4. close': '336.6998', '5. volume': '373988'}"
2013-07-24,,"{'1. open': '327.9999', '2. high': '338.4999', '3. low': '327.2499', '4. close': '337.2999', '5. volume': '306913'}"
2013-07-23,,"{'1. open': '334.8999', '2. high': '337.1998', '3. low': '328.8499', '4. close': '330.0999', '5. volume': '198558'}"
2013-07-22,,"{'1. open': '327.0998', '2. high': '336.7999', '3. low': '326.4999', '4. close': '335.4998', '5. volume': '242413'}"
2013-07-19,,"{'1. open': '323.9998', '2. high': '333.8498', '3. low': '317.9999', '4. close': '330.0499', '5. volume': '480565'}"
2013-07-18,,"{'1. open': '314.9999', '2. high': '324.7999', '3. low': '313.9999', '4. close': '322.5498', '5. volume': '206638'}"
2013-07-17,,"{'1. open': '324.9999', '2. high': '327.4999', '3. low': '312.0499', '4. close': '315.8499', '5. volume': '454205'}"
2013-07-16,,"{'1. open': '309.6999', '2. high': '323.2498', '3. low': '308.1999', '4. close': '321.2499', '5. volume': '445200'}"
2013-07-15,,"{'1. open': '305.2999', '2. high': '316.2499', '3. low': '302.4999', '4. close': '314.6999', '5. volume': '469380'}"
2013-07-12,,"{'1. open': '301.9999', '2. high': '306.4498', '3. low': '297.0499', '4. close': '304.9499', '5. volume': '244301'}"
2013-07-11,,"{'1. open': '292.1999', '2. high': '300.9499', '3. low': '292.1999', '4. close': '299.9999', '5. volume': '174272'}"
2013-07-10,,"{'1. open': '292.9998', '2. high': '293.9999', '3. low': '289.3499', '4. close': '290.3999', '5. volume': '146199'}"
2013-07-09,,"{'1. open': '293.4999', '2. high': '296.9999', '3. low': '290.1999', '4. close': '291.9499', '5. volume': '245108'}"
2013-07-08,,"{'1. open': '295.7999', '2. high': '307.7999', '3. low': '289.5999', '4. close': '293.4499', '5. volume': '545300'}"
2013-07-05,,"{'1. open': '303.9999', '2. high': '305.9999', '3. low': '293.1999', '4. close': '295.5499', '5. volume': '246969'}"
2013-07-04,,"{'1. open': '294.2999', '2. high': '303.3999', '3. low': '294.1499', '4. close': '301.2499', '5. volume': '213578'}"
2013-07-03,,"{'1. open': '303.6499', '2. high': '306.6499', '3. low': '283.7999', '4. close': '294.2499', '5. volume': '444754'}"
2013-07-02,,"{'1. open': '295.8999', '2. high': '305.3999', '3. low': '291.9999', '4. close': '302.7499', '5. volume': '313094'}"
2013-07-01,,"{'1. open': '292.3499', '2. high': '301.0499', '3. low': '291.0999', '4. close': '295.3499', '5. volume': '154359'}"
2013-06-28,,"{'1. open': '280.9999', '2. high': '292.9499', '3. low': '280.9999', '4. close': '291.3999', '5. volume': '167779'}"
2013-06-27,,"{'1. open': '286.9998', '2. high': '288.1998', '3. low': '278.0999', '4. close': '281.0999', '5. volume': '178789'}"
2013-06-26,,"{'1. open': '292.4499', '2. high': '292.4499', '3. low': '277.0999', '4. close': '278.4499', '5. volume': '340350'}"
2013-06-25,,"{'1. open': '285.9999', '2. high': '297.9999', '3. low': '279.9999', '4. close': '295.3998', '5. volume': '369928'}"
2013-06-24,,"{'1. open': '289.9999', '2. high': '290.7999', '3. low': '281.5499', '4. close': '283.0999', '5. volume': '97397'}"
2013-06-21,,"{'1. open': '288.9999', '2. high': '295.4999', '3. low': '286.4499', '4. close': '292.5499', '5. volume': '181547'}"
2013-06-20,,"{'1. open': '294.9999', '2. high': '294.9999', '3. low': '286.7999', '4. close': '288.5999', '5. volume': '419072'}"
2013-06-19,,"{'1. open': '291.9999', '2. high': '301.7499', '3. low': '291.5999', '4. close': '299.6999', '5. volume': '287586'}"
2013-06-18,,"{'1. open': '299.9999', '2. high': '301.4999', '3. low': '289.9499', '4. close': '291.4499', '5. volume': '288475'}"
2013-06-17,,"{'1. open': '291.2999', '2. high': '298.3999', '3. low': '289.5499', '4. close': '296.3999', '5. volume': '190318'}"
2013-06-14,,"{'1. open': '290.8999', '2. high': '292.3999', '3. low': '286.6499', '4. close': '289.0999', '5. volume': '192415'}"
2013-06-13,,"{'1. open': '275.9999', '2. high': '288.4999', '3. low': '275.3999', '4. close': '287.5999', '5. volume': '213168'}"
2013-06-12,,"{'1. open': '277.8999', '2. high': '281.7999', '3. low': '274.6999', '4. close': '277.9499', '5. volume': '270435'}"
2013-06-11,,"{'1. open': '283.7999', '2. high': '283.7999', '3. low': '274.4999', '4. close': '278.5499', '5. volume': '307713'}"
2013-06-10,,"{'1. open': '288.9999', '2. high': '291.0499', '3. low': '280.9999', '4. close': '283.9999', '5. volume': '268454'}"
2013-06-07,,"{'1. open': '293.4999', '2. high': '296.7999', '3. low': '285.9999', '4. close': '288.3499', '5. volume': '282787'}"
2013-06-06,,"{'1. open': '301.9999', '2. high': '302.9999', '3. low': '292.2999', '4. close': '295.4499', '5. volume': '349458'}"
2013-06-05,,"{'1. open': '307.8998', '2. high': '307.8998', '3. low': '300.1998', '4. close': '301.9999', '5. volume': '136180'}"
2013-06-04,,"{'1. open': '302.9999', '2. high': '308.2999', '3. low': '302.4999', '4. close': '304.0999', '5. volume': '71589'}"
2013-06-03,,"{'1. open': '302.4999', '2. high': '308.0999', '3. low': '298.7499', '4. close': '303.6499', '5. volume': '128382'}"
2013-05-31,,"{'1. open': '314.9999', '2. high': '316.3999', '3. low': '296.1499', '4. close': '300.5499', '5. volume': '253094'}"
2013-05-30,,"{'1. open': '306.6998', '2. high': '319.0999', '3. low': '305.9999', '4. close': '315.8999', '5. volume': '188101'}"
2013-05-29,,"{'1. open': '315.0998', '2. high': '315.7499', '3. low': '309.5999', '4. close': '314.2999', '5. volume': '151504'}"
2013-05-28,,"{'1. open': '311.7999', '2. high': '317.2498', '3. low': '310.9998', '4. close': '314.1999', '5. volume': '143916'}"
2013-05-27,,"{'1. open': '300.7999', '2. high': '313.8998', '3. low': '300.7499', '4. close': '309.1499', '5. volume': '178121'}"
2013-05-24,,"{'1. open': '303.4999', '2. high': '304.8999', '3. low': '294.7999', '4. close': '299.2498', '5. volume': '280555'}"
2013-05-23,,"{'1. open': '309.8999', '2. high': '309.8999', '3. low': '299.0999', '4. close': '300.5999', '5. volume': '227223'}"
2013-05-22,,"{'1. open': '305.6999', '2. high': '313.7499', '3. low': '305.6999', '4. close': '311.7999', '5. volume': '182738'}"
2013-05-21,,"{'1. open': '307.9999', '2. high': '310.9998', '3. low': '303.2999', '4. close': '304.9499', '5. volume': '172311'}"
2013-05-20,,"{'1. open': '316.0999', '2. high': '319.4499', '3. low': '307.0499', '4. close': '307.9999', '5. volume': '186630'}"
2013-05-17,,"{'1. open': '322.0498', '2. high': '323.5499', '3. low': '312.6998', '4. close': '315.6499', '5. volume': '202643'}"
2013-05-16,,"{'1. open': '321.9999', '2. high': '327.8499', '3. low': '321.2499', '4. close': '321.9499', '5. volume': '157886'}"
2013-05-15,,"{'1. open': '316.5999', '2. high': '324.3999', '3. low': '316.4999', '4. close': '322.3999', '5. volume': '167939'}"
2013-05-14,,"{'1. open': '316.9499', '2. high': '318.6499', '3. low': '311.9999', '4. close': '317.1999', '5. volume': '174396'}"
2013-05-13,,"{'1. open': '322.4999', '2. high': '324.8999', '3. low': '310.6999', '4. close': '311.6499', '5. volume': '298973'}"
2013-05-10,,"{'1. open': '327.9999', '2. high': '327.9999', '3. low': '322.9999', '4. close': '324.1499', '5. volume': '129740'}"
2013-05-09,,"{'1. open': '322.9999', '2. high': '327.4999', '3. low': '322.7499', '4. close': '324.8999', '5. volume': '127323'}"
2013-05-08,,"{'1. open': '331.0999', '2. high': '331.1499', '3. low': '322.6499', '4. close': '324.0499', '5. volume': '161487'}"
2013-05-07,,"{'1. open': '320.8999', '2. high': '332.1999', '3. low': '318.3499', '4. close': '330.0499', '5. volume': '425325'}"
2013-05-06,,"{'1. open': '322.4499', '2. high': '322.9999', '3. low': '318.1499', '4. close': '319.9999', '5. volume': '210988'}"
2013-05-03,,"{'1. open': '326.1999', '2. high': '330.9999', '3. low': '316.0999', '4. close': '317.6999', '5. volume': '856468'}"
2013-05-02,,"{'1. open': '306.9999', '2. high': '323.9998', '3. low': '305.2498', '4. close': '316.6999', '5. volume': '1272362'}"
2013-04-30,,"{'1. open': '321.0998', '2. high': '323.6999', '3. low': '313.9999', '4. close': '318.7499', '5. volume': '251330'}"
2013-04-29,,"{'1. open': '318.9999', '2. high': '324.2499', '3. low': '312.9999', '4. close': '318.0999', '5. volume': '272969'}"
2013-04-26,,"{'1. open': '306.2999', '2. high': '320.8498', '3. low': '306.2999', '4. close': '318.3999', '5. volume': '697778'}"
2013-04-25,,"{'1. open': '300.0999', '2. high': '309.5999', '3. low': '298.8499', '4. close': '304.5499', '5. volume': '217000'}"
2013-04-23,,"{'1. open': '300.9999', '2. high': '307.5999', '3. low': '296.7999', '4. close': '299.4499', '5. volume': '442894'}"
2013-04-22,,"{'1. open': '300.0999', '2. high': '304.6499', '3. low': '298.9998', '4. close': '300.7499', '5. volume': '128570'}"
2013-04-18,,"{'1. open': '284.9999', '2. high': '301.2499', '3. low': '284.9999', '4. close': '299.4499', '5. volume': '508940'}"
2013-04-17,,"{'1. open': '285.9999', '2. high': '288.4999', '3. low': '283.4499', '4. close': '286.1499', '5. volume': '206638'}"
2013-04-16,,"{'1. open': '281.7499', '2. high': '285.9499', '3. low': '278.2499', '4. close': '285.2999', '5. volume': '288680'}"
2013-04-15,,"{'1. open': '272.7999', '2. high': '283.6999', '3. low': '271.4999', '4. close': '279.8499', '5. volume': '624725'}"
2013-04-12,,"{'1. open': '274.0499', '2. high': '278.3500', '3. low': '271.5999', '4. close': '273.3499', '5. volume': '199478'}"
2013-04-11,,"{'1. open': '281.9999', '2. high': '281.9999', '3. low': '271.6999', '4. close': '275.1499', '5. volume': '490251'}"
2013-04-10,,"{'1. open': '278.9999', '2. high': '282.7499', '3. low': '274.4499', '4. close': '281.6499', '5. volume': '393603'}"
2013-04-09,,"{'1. open': '281.8499', '2. high': '283.4999', '3. low': '274.0999', '4. close': '277.0999', '5. volume': '691640'}"
2013-04-08,,"{'1. open': '270.9499', '2. high': '284.5499', '3. low': '270.2499', '4. close': '281.1999', '5. volume': '701846'}"
2013-04-05,,"{'1. open': '273.7999', '2. high': '279.3499', '3. low': '266.9499', '4. close': '270.6499', '5. volume': '503728'}"
2013-04-04,,"{'1. open': '280.5499', '2. high': '284.6499', '3. low': '272.1999', '4. close': '273.7499', '5. volume': '526567'}"
2013-04-03,,"{'1. open': '291.9999', '2. high': '292.6999', '3. low': '279.3999', '4. close': '280.6499', '5. volume': '451106'}"
2013-04-02,,"{'1. open': '293.9999', '2. high': '294.8999', '3. low': '290.2499', '4. close': '292.1999', '5. volume': '222098'}"
2013-04-01,,"{'1. open': '290.6999', '2. high': '294.9999', '3. low': '289.1999', '4. close': '293.3999', '5. volume': '211799'}"
2013-03-28,,"{'1. open': '296.9499', '2. high': '296.9499', '3. low': '288.6999', '4. close': '291.7998', '5. volume': '175916'}"
2013-03-26,,"{'1. open': '286.4999', '2. high': '298.2499', '3. low': '285.3499', '4. close': '297.0499', '5. volume': '455878'}"
2013-03-25,,"{'1. open': '297.6999', '2. high': '297.6999', '3. low': '287.3499', '4. close': '288.4499', '5. volume': '756450'}"
2013-03-22,,"{'1. open': '298.9998', '2. high': '299.8999', '3. low': '288.5999', '4. close': '294.1998', '5. volume': '593715'}"
2013-03-21,,"{'1. open': '285.9999', '2. high': '303.4999', '3. low': '283.5999', '4. close': '297.9999', '5. volume': '1757614'}"
2013-03-20,,"{'1. open': '289.9999', '2. high': '297.5499', '3. low': '275.5499', '4. close': '281.1499', '5. volume': '1907774'}"
2013-03-19,,"{'1. open': '309.9999', '2. high': '311.7999', '3. low': '284.2999', '4. close': '293.3999', '5. volume': '1581186'}"
2013-03-18,,"{'1. open': '305.9999', '2. high': '310.4999', '3. low': '301.1999', '4. close': '307.9999', '5. volume': '390578'}"
2013-03-15,,"{'1. open': '312.4999', '2. high': '317.0999', '3. low': '307.1999', '4. close': '311.0499', '5. volume': '825835'}"
2013-03-14,,"{'1. open': '314.9999', '2. high': '317.7999', '3. low': '309.0499', '4. close': '314.9999', '5. volume': '300078'}"
2013-03-13,,"{'1. open': '314.1999', '2. high': '319.9999', '3. low': '310.9998', '4. close': '317.5999', '5. volume': '505426'}"
2013-03-12,,"{'1. open': '320.9999', '2. high': '320.9999', '3. low': '314.0999', '4. close': '315.1999', '5. volume': '165377'}"
2013-03-11,,"{'1. open': '322.9999', '2. high': '326.0499', '3. low': '319.2499', '4. close': '322.0498', '5. volume': '551055'}"
